@relation 'TT-weka.filters.unsupervised.attribute.Remove-R1-11,13-14,16-20,22-23,25-28,30-33,35-39,41-71,73-86'

@attribute f12 numeric
@attribute f15 numeric
@attribute f21 numeric
@attribute rubine_ShuZhe numeric
@attribute rubine_Gou numeric
@attribute rubine_Shu numeric
@attribute long_ShuZhe numeric
@attribute dollar_ShuZhe numeric
@attribute class {HengZheTi,ShuZhe,ShuZheZheGou,Heng,Ti,HengGou,Gou,HengZhe,ShuWanGou,HengZheWanGou,Dian,Shu,HengPie,Wan,Pie,Na}

@data
2.533656,2.025479,6.127407,0.9012,0.230197,0.5629,0.863797,0.606713,HengZheWanGou
2.581233,2.086378,6.254806,0.856898,0.227123,0.523349,0.832059,0.686379,HengZheWanGou
2.503387,1.984329,5.901941,0.991089,0.278347,0.660337,0.96342,0.510833,HengZheWanGou
2.665806,1.97054,6.254285,0.832778,0.186738,0.448639,0.787,0.646528,HengZheWanGou
2.61715,2.197602,6.182521,0.817676,0.197383,0.462299,0.766096,0.696517,HengZheWanGou
2.540604,2.204565,6.162303,0.891637,0.246195,0.564086,0.879794,0.672613,HengZheWanGou
2.582567,2.182296,6.080006,0.872255,0.241231,0.547039,0.835694,0.596532,HengZheWanGou
2.470982,2.909776,6.361999,0.876393,0.247569,0.535823,0.84829,0.644819,HengZheWanGou
2.566469,2.256626,6.288027,0.907266,0.231619,0.523746,0.853413,0.635641,HengZheWanGou
2.64474,2.421009,6.110061,0.87819,0.280923,0.57693,0.825398,0.994232,HengZheWanGou
2.56447,2.289483,6.242209,0.812537,0.226407,0.506379,0.78145,0.774772,HengZheWanGou
2.561037,2.26235,6.19973,0.804696,0.216543,0.490406,0.766997,0.745949,HengZheWanGou
2.662939,2.07192,6.327145,0.843867,0.238161,0.510764,0.809812,0.855148,HengZheWanGou
2.55451,1.809049,6.164348,0.906836,0.208794,0.58781,0.905874,0.459731,HengZheWanGou
2.095592,1.307092,4.33357,0.946714,0.348236,0.82934,0.909036,0.500369,Dian
2.137526,1.047586,3.713,0.958417,0.345241,0.804335,0.679549,0.238127,Dian
2.245537,1.14431,3.601026,0.92739,0.349081,0.740755,0.631996,0.27858,Dian
2.067219,1.107664,3.408946,0.96916,0.351325,0.831652,0.677204,0.444555,Dian
2.070143,1.62328,3.637586,1,0.481299,0.859718,0.908084,0.203328,Dian
2.279423,1.102667,3.41767,0.959566,0.323976,0.730306,0.664159,0.330709,Dian
2.240435,1.187762,3.541739,0.925131,0.337363,0.746771,0.650574,0.390208,Dian
2.356194,1.114614,3.872943,0.944356,0.322362,0.708604,0.706113,0.48092,Dian
2.034444,1.207795,3.885428,0.948086,0.428239,0.85315,0.755962,0.440568,Dian
2.066348,1.207268,3.863297,0.980587,0.334616,0.847346,0.794539,0.50112,Dian
2.38058,1.129004,3.488632,0.937019,0.322954,0.680794,0.640641,0.493634,Dian
2.446854,1.148261,3.770614,0.955278,0.303228,0.68067,0.731995,0.353392,Dian
1.929567,1.110086,3.34828,0.976559,0.373901,0.912262,0.682549,0.299199,Dian
2.273053,1.098861,3.622362,0.952862,0.325259,0.733457,0.682648,0.474668,Dian
2.299651,1.095321,3.698668,0.949194,0.336393,0.723626,0.684093,0.574039,Dian
2.17996,1.110689,4.037574,0.939813,0.34605,0.783453,0.722893,0.396698,Dian
2.056418,1.168892,3.828739,0.952864,0.380634,0.843065,0.729596,0.353749,Dian
2.547379,1.016627,3.815439,0.935879,0.305506,0.627251,0.675482,0.336632,Dian
2.245537,1.167543,3.367336,0.920797,0.347074,0.735805,0.60773,0.462872,Dian
2.005467,1.17552,3.531379,0.941284,0.367585,0.860878,0.676821,0.417112,Dian
1.623593,1.003408,5.510128,0.596722,0.28102,1,0.477887,0.108605,Shu
1.647275,1.126565,5.627799,0.564481,0.297248,1,0.533733,0.263611,Shu
1.624317,1.012155,5.425161,0.585498,0.30318,1,0.459832,0.280379,Shu
1.587649,1.037441,5.201608,0.657255,0.313853,1,0.455521,0.253087,Shu
1.630605,1.260708,5.243108,0.679753,0.319171,1,0.571327,0.291308,Shu
1.581105,1.031811,5.283644,0.648924,0.268331,1,0.454563,0.23045,Shu
1.587672,1.04648,5.492253,0.650046,0.281498,1,0.496456,0.28169,Shu
1.70766,1.10776,5.187741,0.650651,0.463635,1,0.509118,0.271729,Shu
1.583454,1.002611,5.470676,0.640773,0.275705,1,0.47212,0.270459,Shu
1.661456,1.009099,5.243814,0.606789,0.316124,1,0.443555,0.215631,Shu
1.598,1.004613,4.995405,0.714921,0.313502,1,0.452904,0.267153,Shu
1.608593,1.020097,5.484456,0.611593,0.284815,1,0.478416,0.211799,Shu
1.59154,1.044339,5.507441,0.621669,0.284124,1,0.484517,0.273526,Shu
1.631328,1.027414,5.128767,0.659155,0.32016,1,0.452464,0.205843,Shu
1.638401,1.009009,5.268751,0.598371,0.32563,1,0.446038,0.215407,Shu
1.58229,1.000697,5.159818,0.662375,0.307531,1,0.430884,0.162887,Shu
1.579492,1.000745,5.438833,0.643349,0.278335,1,0.460762,0.149815,Shu
1.619864,1.046314,5.443528,0.641074,0.276438,1,0.508785,0.241307,Shu
1.645078,1.008184,5.380904,0.598476,0.295142,1,0.458679,0.264625,Shu
1.585871,1.073651,5.328682,0.647257,0.30705,1,0.472605,0.281804,Shu
2.450256,2.339591,5.474613,0.823282,0.633712,0.612606,0.825336,0.398255,HengPie
2.648293,2.167005,5.056528,0.837113,0.493107,0.552921,0.809905,0.339254,HengPie
2.487022,2.56368,5.553812,0.532595,1,0.481693,0.592941,0.039434,HengPie
2.615742,3.124414,5.357889,0.800435,0.513472,0.531188,0.771512,0.404529,HengPie
2.62511,3.66597,5.053761,0.838538,0.450059,0.551745,0.758927,0.389881,HengPie
2.780756,2.564458,5.145548,0.735306,0.318524,0.422771,0.714178,0.382605,HengPie
2.630037,3.199216,5.380897,0.75722,0.543552,0.515862,0.737631,0.309422,HengPie
2.674282,2.850505,5.266355,0.790334,0.451175,0.501519,0.757181,0.308424,HengPie
2.490218,2.930392,5.341768,0.796332,0.589078,0.5791,0.77731,0.341726,HengPie
2.621625,2.146217,5.429986,0.825716,0.506205,0.552947,0.824663,0.440822,HengPie
2.421603,2.591675,5.569528,0.771258,0.606273,0.595707,0.781818,0.376245,HengPie
2.427802,2.685786,5.610682,0.767312,0.665485,0.589359,0.779072,0.241768,HengPie
2.350545,2.670846,5.359791,0.793436,0.783143,0.633924,0.79524,0.164858,HengPie
2.474684,3.28534,5.312949,0.78084,0.625906,0.580347,0.761474,0.342335,HengPie
